,steps,self_finding_steps,prop_selected_correctly,participant,level
288,12,,,5,23
289,79,,,5,24
290,20,,,5,25
291,149,,,5,26
292,14,,,5,27
293,14,,,5,28
294,16,,,5,29
295,23,,,5,30
296,16,,,5,31
297,12,,,5,32
298,66,,,5,33
299,345,,,5,34
300,65,,,5,35
301,38,,,5,36
302,11,,,5,37
303,60,,,5,38
304,10,,,5,39
305,14,,,5,40
306,35,,,5,41
307,22,,,5,42
308,187,,,5,43
309,19,,,5,44
310,31,,,5,45
311,20,,,5,46
312,10,,,5,47
313,84,,,5,48
314,75,,,5,49
315,34,,,5,50
316,10,,,5,51
317,49,,,5,52
318,197,4.0,0.6,6,0
319,467,6.0,0.2857142857142857,6,1
320,131,,,6,2
321,384,5.0,0.375,6,3
322,112,2.0,1.0,6,4
323,861,4.166666666666667,0.5,6,5
324,619,5.666666666666667,0.2857142857142857,6,6
325,755,,,6,7
326,203,6.0,0.3333333333333333,6,8
327,92,3.0,1.0,6,9
328,227,4.0,1.0,6,10
329,42,7.0,0.0,6,11
330,157,7.0,0.0,6,12
331,228,7.0,0.0,6,13
332,32,7.0,0.0,6,14
333,578,6.25,0.3,6,15
334,310,7.0,0.0,6,16
335,62,7.0,0.0,6,17
336,33,5.5,0.3333333333333333,6,18
337,46,3.5,0.5,6,19
338,26,7.0,0.0,6,20
339,56,7.0,0.0,6,21
340,84,7.0,0.0,6,22
341,226,7.0,0.0,6,23
342,18,2.0,1.0,6,24
343,34,4.0,0.5,6,25
344,61,4.0,0.5,6,26
345,30,7.0,0.0,6,27
346,26,1.5,1.0,6,28
347,90,7.0,0.0,6,29
348,26,7.0,0.0,6,30
349,34,7.0,0.0,6,31
350,32,7.0,0.0,6,32
